,City,Country,Temperature,Humidity,Cloudiness,Wind Speed(mph),Latitude
504,Ossora,RU,46.13,86,100,1.66,59.24
505,Katiola,CI,69.89,98,64,3.74,8.14
506,Berlevag,NO,39.78,75,40,13.87,70.86
507,Cepu,ID,96.35,33,11,16.08,-7.14
508,Inverell,AU,72.46,12,10,5.01,-29.78
509,Sambava,MG,68.63,92,100,2.26,-14.27
510,Hobyo,SO,85.19,51,0,18.84,5.35
511,Samana,EC,68.99,98,100,1.12,0.12
512,La Paz,MX,78.8,74,5,5.82,24.15
513,Arlit,NE,86.09,16,0,14.85,18.74
514,President Roxas,PH,86.99,68,44,7.83,11.43
515,San Lazaro,BZ,74.57,97,58,1.72,18.04
516,Boyuibe,BO,64.31,57,0,4.59,-20.43
517,Arraial do Cabo,BR,65.03,73,96,16.33,-22.97
518,Kaniama,CD,79.97,55,0,1.03,-7.57
519,Atherton,AU,80.55,54,99,17.22,-17.27
520,Ambon,FR,62.06,100,97,11.41,47.55
521,Rocha,UY,44.51,94,0,6.69,-34.48
522,Yokadouma,CM,72.77,86,68,1.7,3.52
523,Maturin,VE,70.97,77,96,2.77,9.75
524,Harur,IN,86.0,66,40,8.05,12.06
525,Leh,IN,48.47,9,0,4.21,34.16
526,Kamenka,MD,48.0,68,37,1.01,48.03
527,Talas,KG,69.49,83,26,15.61,42.52
528,Mayo,CA,37.4,86,20,2.24,63.59
529,Panqueba,CO,48.47,99,100,1.97,6.44
530,Saint-Francois,FR,47.5,93,100,3.65,46.42
531,Marabba,SD,84.47,59,0,12.91,12.35
532,Buncrana,GB,58.55,89,88,12.55,55.14
533,Alexandria,RO,59.0,83,92,1.01,43.97
534,Notre-Dame-du-Lac,CA,54.12,81,90,4.7,47.61
535,Zatoka,PL,49.41,93,90,9.17,50.04
536,Wajima,JP,68.0,82,75,4.7,37.4
537,Maningrida,AU,85.73,53,28,12.44,-12.05
538,Comodoro Rivadavia,AR,59.0,54,0,21.92,-45.87
539,Lira,UG,74.57,81,9,2.04,2.25
540,Hvizd,UA,46.4,87,90,4.47,48.68
541,North Bend,US,58.19,87,1,5.95,43.41
542,Bereda,ES,62.37,93,40,8.05,43.27
543,Dudinka,RU,41.0,65,75,26.84,69.41
544,Bonoua,CI,77.0,94,75,3.36,5.27
545,Quatre Cocos,MU,75.88,44,75,14.99,-20.21
546,Mackenzie,CA,46.4,87,90,3.36,55.34
547,Chimbote,PE,60.53,95,99,10.89,-9.08
548,Albion,US,66.88,82,1,3.36,41.69
549,Mandalgovi,MN,75.47,15,0,12.86,45.76
550,Krasnokamensk,RU,64.85,36,0,8.03,50.1
551,Nizhniy Baskunchak,RU,48.29,49,18,4.45,48.22
552,Nsanje,MZ,79.79,54,46,7.92,-16.92
553,Tongchuan,CN,73.4,60,0,2.24,34.9
554,Bikin,RU,57.47,46,0,15.64,46.82
555,Edd,ER,95.99,21,3,2.57,13.93
556,Putyatino,RU,38.93,80,41,9.01,54.16
557,Mawlaik,MM,77.09,74,100,2.8,23.63
558,Bandrele,YT,84.2,66,0,12.75,-12.91
559,Waverley,AU,67.62,42,0,17.22,-33.9
560,Parrita,CR,66.96,100,75,1.12,9.52
561,Misratah,LY,82.67,53,0,8.93,32.38
562,Sabzevar,IR,79.43,23,0,4.97,36.21
563,Kwinana,AU,79.63,22,33,19.46,-32.25
564,Kholm,AF,77.0,36,5,2.24,36.69
565,Zabol,IR,84.2,28,0,13.87,31.03
566,Santa,PH,83.21,76,0,10.42,17.49
567,Sioux Lookout,CA,56.44,82,5,5.82,50.1
568,Cortez,US,46.62,81,1,4.7,37.35
569,Moctezuma,MX,68.27,88,0,1.05,29.81
570,Kamiiso,JP,71.6,56,20,16.11,41.82
571,Kirkuk,IQ,87.53,9,0,5.17,35.47
572,Dwarka,IN,84.87,74,40,5.82,28.58
573,La Sarre,CA,47.21,88,78,3.65,48.8
574,Antalaha,MG,71.15,81,100,1.23,-14.9
